month_index,fe,fe_ci_ll,fe_ci_ul
467,-6.00025135129222,-6.97179460779127,-5.02870809479318
468,-6.03687957456845,-7.20577693813235,-4.86798221100454
469,-5.81562641350991,-6.75830330217707,-4.87294952484275
470,-6.57228664355843,-7.50951179076269,-5.63506149635417
471,-6.16415121159472,-7.3033066033106,-5.02499581987885
472,-5.71026712805622,-6.59809858847225,-4.82243566764019
473,-5.46616762546316,-6.4045017444294,-4.52783350649692
474,-6.14952357130348,-7.06990650722142,-5.22914063538554
475,-5.57974937849912,-6.50166646671614,-4.65783229028211
476,-6.10768360272822,-7.07295856222516,-5.14240864323127
477,-6.6882933867222,-7.67039019728308,-5.70619657616131
478,-6.07860160827429,-7.08659807712224,-5.07060513942634
479,-6.17366538924615,-7.15233690481766,-5.19499387367464
480,-5.94426097764675,-6.95614758638646,-4.93237436890704
481,-6.67732277442576,-7.68367477514822,-5.67097077370331
482,-6.39400377569493,-7.21565540291346,-5.5723521484764
483,-6.33693105457267,-7.17665578186091,-5.49720632728443
484,-6.76741416039933,-7.60446346783481,-5.93036485296384
485,-6.10499404083371,-7.05826664709703,-5.15172143457039
486,-6.52180145526711,-7.44426177171413,-5.59934113882008
487,-6.4314004500281,-7.34462969614867,-5.51817120390752
488,-6.36843481144873,-7.38721947232934,-5.34965015056811
489,-6.32546442770703,-7.28745079456329,-5.36347806085077
490,-6.11322844163322,-7.18314249149355,-5.04331439177289
491,-5.96548540660774,-6.84607651202277,-5.08489430119272
492,-6.1186051260769,-7.07594558798325,-5.16126466417055
493,-6.60881391995307,-7.61852085617036,-5.59910698373577
494,-5.39997371707082,-6.27544015575585,-4.52450727838579
495,-6.39124014822689,-7.32728460656483,-5.45519568988895
496,-6.34497219925924,-7.3178047096167,-5.37213968890178
497,-5.89757370713293,-6.78811360069427,-5.0070338135716
498,-5.96138212372261,-6.82013132350978,-5.10263292393544
499,-6.61904762572704,-7.59106277609536,-5.64703247535872
500,-6.86982359706672,-7.91372847062971,-5.82591872350372
501,-6.43098882923366,-7.43049439492066,-5.43148326354666
502,-6.84812391782366,-7.76301007040428,-5.93323776524304
503,-7.14546215272083,-8.3289406908324,-5.96198361460927
504,-6.48029898787488,-7.56453377038497,-5.39606420536479
505,-6.21869960627445,-7.17783429395893,-5.25956491858996
506,-6.76867275481044,-7.77649146055598,-5.7608540490649
507,-7.17976388577104,-8.21827255263404,-6.14125521890804
508,-7.44060409299445,-8.39371183222909,-6.4874963537598
509,-6.36950633390165,-7.22505807097051,-5.51395459683279
510,-7.77740430530452,-8.84851800142458,-6.70629060918447
511,-6.47883429724922,-7.38419325372313,-5.57347534077531
512,-6.72990697392234,-7.81993723062252,-5.63987671722216
513,-6.54830218418928,-7.52620137466111,-5.57040299371745
514,-6.58722963302193,-7.51627772106238,-5.65818154498148
515,-6.65783168231855,-7.71371072055321,-5.60195264408389
516,-6.52208794803821,-7.45049487857677,-5.59368101749964
517,-5.91579006233795,-6.91663430254699,-4.91494582212891
518,-5.58137331878661,-6.46840698764329,-4.69433964992993
519,-6.9788555905853,-8.06954643494666,-5.88816474622393
520,-6.60174550955972,-7.64438514553042,-5.55910587358901
521,-6.39275499109236,-7.28444537349177,-5.50106460869295
